UID30,GE,30-in 350-CFM Convertible Black Stainless Wall-Mounted Range Hood with Charcoal Filter,1149435,JVW5301BJTS,https://mobileimages.lowes.com/productimages/3908979a-e5fb-4805-b862-6e835aadd439/65128453.jpg,www.lowes.com/pd/GE-Convertible-Black-Stainless-Wall-Mounted-Range-Hood-Common-30-Inch-Actual-30-in/1000510545,9.875,30.0,18.5,etc
UID31,allen + roth,3-in Center to Center Matte Black Square Handle Drawer Pulls,226984,S271-3-DBK,https://mobileimages.lowes.com/productimages/f41781ae-7c6e-4586-b78d-06f6057ae8d5/05125103.jpg,www.lowes.com/pd/allen-roth-3-in-Center-to-Center-Matte-Black-Square-Handle-Cabinet-Door-Pull/1062905,-1,0.31,3.31,etc
UID32,Amerock,Versa 1-3/8-in Matte Black Round Contemporary Cabinet Knob,2637589,BP36904FB,https://mobileimages.lowes.com/productimages/9030224f-cf9b-4b62-af3e-8ce02e6cda75/16226246.jpg,www.lowes.com/pd/Amerock-Versa-1-3-8-in-35-mm-Diameter-Matte-Black-Cabinet-Knob/1003012490,-1,1.375,1.375,etc
UID33,allen + roth,Stonewall 18-in W x 30.125-in H x 12-in D Stone Door Wall Fully Assembled Cabinet (Flat Panel Shaker Door Style),1216311,1180,https://mobileimages.lowes.com/productimages/81cc9079-ae62-4ada-928e-5f7f00d02f94/12190650.jpg,www.lowes.com/pd/allen-roth-Stonewall-18-in-W-x-30-in-H-x-12-in-D-Stone-Maple-Door-Wall-Semi-Custom-Cabinet/1000650401,30.125,18.0,12.0,etc
UID34,allen + roth,Alluring Quartz White Kitchen Countertop SAMPLE (4-in x 4-in),1154825,NRU613,https://mobileimages.lowes.com/productimages/8aac87e2-267c-42b5-9865-ecb9f3067a6f/15183896.jpg,www.lowes.com/pd/allen-roth-Alluring-Quartz-Kitchen-Countertop-Sample/1000607739,-1,-1,-1,etc
------------#pantry------------
UID35,allen + roth,Stonewall 15-in W x 84-in H x 24-in D Stone Painted Door Pantry Fully Assembled Cabinet (Flat Panel Shaker Door Style),1216300,63049,https://mobileimages.lowes.com/productimages/81cc9079-ae62-4ada-928e-5f7f00d02f94/12190650.jpg,www.lowes.com/pd/allen-roth-Stonewall-15-in-W-x-84-in-H-x-24-in-D-Stone-Maple-Door-Pantry-Semi-Custom-Cabinet/1000653985,84.0,15.0,24.0,etc
UID36,allen + roth,Stonewall 24-in W x 34.5-in H x 24-in D Stone Painted Drawer Base Fully AssembLED Cabinet (Flat Panel Door Style),1216263,21240,https://mobileimages.lowes.com/productimages/81cc9079-ae62-4ada-928e-5f7f00d02f94/12190650.jpg,www.lowes.com/pd/allen-roth-Stonewall-24-in-W-x-34-5-in-H-x-24-in-D-Stone-Maple-Drawer-Base-Semi-Custom-Cabinet/1000653509,34.5,24.0,24.0,etc
------------#closet------------
UID37,EZ Shelf,Ez shelf expandable shelving 4-ft x 12-in White Fixed Mount Wire Shelf,753237,EZS-SCRW48-1-1,N/A,www.lowes.com/pd/EZ-Shelf-2-33-ft-to-4-08-ft-x-12-in-White-Wire-Closet-Kit/50434764,-1,-1,12.0,etc
------------#flooring------------
UID38,Bruce,Manchester 3-1/4-in Wide x 3/4-in Thick Oak Cherry Smooth/Traditional Solid Hardwood Flooring (22-sq ft),838677,C1218,http://mobileimages.lowes.com/product/converted/042369/042369531139_08258170.jpg,www.lowes.com/pd/Bruce-Manchester-3-25-in-Cherry-Oak-Solid-Hardwood-Flooring-22-sq-ft/1000164611,-1,3.25,-1,etc
------------#walls------------
UID39,ToughRock,1/2-in x 4-ft x 8-ft Drywall Panel,240891,12237,http://mobileimages.lowes.com/product/converted/081999/081999559137_08798922.jpg,www.lowes.com/pd/ToughRock-Common-1-2-in-x-4-ft-x-8-ft-Actual-0-49-in-x-3-99-ft-x-7-99-ft-Drywall-Panel/1000363095,-1,3.99,7.99,etc
UID40,Valspar,Signature Satin Mint To Be Hgsw2327 Interior Paint (1-Gallon),773957,HGSW2327-773957,http://mobileimages.lowes.com/product/converted/080047/080047294815_41262198.jpg,www.lowes.com/pd/HGTV-HOME-by-Sherwin-Williams-Signature-MINT-TO-BE-Satin-Latex-Interior-Paint-Actual-Net-Contents-124-0/5001352245,-1,-1,-1,etc
